iter	Logloss
0	0.6891170254
1	0.6827533295
2	0.6774282774
3	0.6717174787
4	0.6679545194
5	0.6617162196
6	0.6560503759
7	0.6502965928
8	0.6455669415
9	0.6405568653
10	0.6343251732
11	0.6294080842
12	0.6248475376
13	0.619456499
14	0.6154382146
15	0.6104963406
16	0.6056300407
17	0.601089524
18	0.5972924361
19	0.5929866402
20	0.589195112
21	0.5866875892
22	0.5820838775
23	0.5784329996
24	0.5748577568
25	0.5711582873
26	0.5691895613
27	0.566049256
28	0.563177299
29	0.5600963754
30	0.5565682854
31	0.5531418661
32	0.5501268289
33	0.5466873615
34	0.5450695174
35	0.5417015955
36	0.5390879432
37	0.5375788055
38	0.5353481783
39	0.5320943267
40	0.5292183997
41	0.5266610994
42	0.523556255
43	0.5204477142
44	0.5181853741
45	0.5162145279
46	0.5132997868
47	0.5115321869
48	0.5085490779
49	0.5067540007
50	0.5043178416
51	0.503249027
52	0.5008219394
53	0.4985888171
54	0.4961230801
55	0.4951537736
56	0.4930443802
57	0.4912665149
58	0.4892930093
59	0.487858709
60	0.4858579932
61	0.4836094409
62	0.4815070431
63	0.4801865847
64	0.4781902895
65	0.4764100291
66	0.4749408366
67	0.4727038897
68	0.4715495217
69	0.4698368277
70	0.4690543122
71	0.4673107109
72	0.4654568956
73	0.464824269
74	0.4642054599
75	0.4630059522
76	0.4614332913
77	0.4600016899
78	0.4594211722
79	0.458264817
80	0.4577244015
81	0.4571870372
82	0.4558171149
83	0.4540968565
84	0.4526573323
85	0.4512190643
86	0.4499062872
87	0.4482876476
88	0.4472776555
89	0.4458906375
90	0.4445718912
91	0.4438374187
92	0.4434277092
93	0.4424012708
94	0.4413274279
95	0.44013873
96	0.4387270202
97	0.4376863924
98	0.4370528022
99	0.4357980797
100	0.4347532668
101	0.4337672504
102	0.4327475152
103	0.4321196288
104	0.4319024488
105	0.4311753924
106	0.4304507879
107	0.4297504208
108	0.4287975242
109	0.4280692011
110	0.4270539207
111	0.426418954
112	0.4255613728
113	0.4247110179
114	0.4241274432
115	0.4233153805
116	0.4224828667
117	0.4219409303
118	0.421087272
119	0.42038181
120	0.4196183315
121	0.4188599623
122	0.4184497498
123	0.4176256532
124	0.4172735444
125	0.4164563518
126	0.4156723007
127	0.4154477087
128	0.4148948458
129	0.4146970141
130	0.4138370505
131	0.4134628827
132	0.4132769949
133	0.4129378242
134	0.4121608237
135	0.4115604142
136	0.4113863403
137	0.4108400279
138	0.4103674417
139	0.4100227861
140	0.4098822555
141	0.4091552755
142	0.4086743714
143	0.4079803616
144	0.4074793598
145	0.4071734398
146	0.406793493
147	0.4061377284
148	0.4055860158
149	0.4052857209
150	0.4046490191
151	0.4040903062
152	0.4036671459
153	0.4036000101
154	0.4030708262
155	0.4027515803
156	0.4025043572
157	0.402098684
158	0.4019015698
