iter	Passed	Remaining
0	0	490
1	0	482
2	1	439
3	1	436
4	2	418
5	2	412
6	2	416
7	3	410
8	3	401
9	4	397
10	4	399
11	4	394
12	5	388
13	5	388
14	5	383
15	6	381
16	6	380
17	6	380
18	7	378
19	7	378
20	8	377
21	8	373
22	8	373
23	9	370
24	9	370
25	9	369
26	10	364
27	10	362
28	10	359
29	11	366
30	11	365
31	12	368
32	12	366
33	12	363
34	13	359
35	13	361
36	13	361
37	14	357
38	14	355
39	14	354
40	15	353
41	15	351
42	15	350
43	16	350
44	16	348
45	16	346
46	17	345
47	17	343
48	17	343
49	17	341
50	18	341
51	18	338
52	18	338
53	19	337
54	19	337
55	19	334
56	20	333
57	20	331
58	20	331
59	21	329
60	21	329
61	21	328
62	22	327
63	22	326
64	22	326
65	23	326
66	23	325
67	23	324
68	23	323
69	24	322
70	24	321
71	24	320
72	25	320
73	25	318
74	25	316
75	25	315
76	26	315
77	26	314
78	26	312
79	27	311
80	27	309
81	27	308
82	27	308
83	28	307
84	28	306
85	28	306
86	29	305
87	29	304
88	29	303
89	29	303
90	30	302
91	30	301
92	30	299
93	31	299
94	31	298
95	31	297
96	31	297
97	32	296
98	32	295
99	32	295
100	33	294
101	33	294
102	33	293
103	33	292
104	34	291
105	34	291
106	34	290
107	35	290
108	35	289
109	35	289
110	36	288
111	36	287
112	36	287
113	36	286
114	37	285
115	37	285
116	37	284
117	38	284
118	38	283
119	38	282
120	38	282
121	39	281
122	39	280
123	39	280
124	39	279
125	40	278
126	40	278
127	40	277
128	41	277
129	41	276
130	41	276
131	41	275
132	42	274
133	42	274
134	42	273
135	43	273
136	43	272
137	43	272
138	43	271
139	44	271
140	44	270
141	44	269
142	44	269
143	45	269
144	45	269
145	45	268
146	46	267
147	46	267
148	46	267
149	47	266
150	47	266
151	47	267
152	48	266
153	48	265
154	48	265
155	49	265
156	49	264
157	49	264
158	49	263
159	50	263
160	50	263
161	50	263
162	51	263
163	51	262
164	51	261
165	52	261
166	52	260
167	52	260
168	52	259
169	53	259
170	53	258
171	53	258
172	53	257
173	54	257
174	54	256
175	54	256
176	55	256
177	55	256
178	55	255
179	56	255
180	56	255
181	56	255
182	57	256
183	57	255
184	57	255
185	58	255
186	58	255
187	59	255
188	59	254
189	59	254
190	59	253
191	60	253
192	60	253
193	60	252
194	61	252
195	61	252
196	61	251
197	62	251
198	62	250
199	62	250
200	63	250
201	63	250
202	63	249
203	63	249
204	64	249
